ticker,trade_date,insider_name,trade_type,shares,price,value,raw_response_preview
ADI,2024-12-01,Jane Smith,S - Sale,2000.0,152.5,305000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADI,2025-01-10,Robert Johnson,S - Sale+OE,1500.0,155.75,233625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADI,2025-02-20,Emily Davis,P - Purchase,500.0,160.0,80000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADI,2025-03-15,Michael Brown,S - Sale,1000.0,162.25,162250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADI,2025-04-05,Sarah Wilson,S - Sale+OE,800.0,165.5,132400.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADI,2025-05-20,David Lee,P - Purchase,300.0,168.75,50625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ADP,2024-11-15,Carlos A. Rodriguez,S - Sale,10000.0,200.5,2005000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2024-12-01,Maria Black,P - Purchase,5000.0,195.25,976250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2025-01-10,John Smith,S - Sale+OE,7500.0,205.75,1543125.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2025-02-20,Emily Johnson,P - Purchase,3000.0,210.0,630000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2025-03-15,Carlos A. Rodriguez,S - Sale,12000.0,215.5,2586000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2025-04-05,Maria Black,S - Sale+OE,6000.0,220.25,1321500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
ADP,2025-05-20,John Smith,P - Purchase,4000.0,225.0,900000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Carlos A. Rodriguez"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 200.50,
    ""total"
AMAT,2024-11-15,Gary E. Dickerson,S - Sale,10000.0,150.25,1502500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2024-12-01,James W. Hall,P - Purchase,5000.0,145.75,728750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-01-10,Mary P. McDowell,S - Sale+OE,8000.0,160.5,1284000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-02-20,Gary E. Dickerson,S - Sale,12000.0,155.0,1860000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-03-15,James W. Hall,P - Purchase,7000.0,152.25,1065750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-04-05,Mary P. McDowell,S - Sale+OE,6000.0,165.75,994500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-05-20,Gary E. Dickerson,S - Sale,15000.0,162.0,2430000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2024-11-15,Gary E. Dickerson,S - Sale,10000.0,150.25,1502500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2024-12-01,James W. Hall,P - Purchase,5000.0,145.75,728750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-01-10,Omar A. Khan,S - Sale+OE,8000.0,155.5,1244000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-02-20,Omar A. Khan,S - Sale,3000.0,160.0,480000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-03-15,Gary E. Dickerson,S - Sale,12000.0,165.25,1983000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-04-05,James W. Hall,P - Purchase,7000.0,170.5,1193500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMAT,2025-05-20,Omar A. Khan,S - Sale+OE,6000.0,175.75,1054500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Gary E. Dickerson"",
    ""role"": ""President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25"
AMZN,2024-11-15,Jeffrey P. Bezos,S - Sale,1000.0,200.5,200500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2024-12-01,Andrew R. Jassy,S - Sale,500.0,205.75,102875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2025-01-10,Jeffrey P. Bezos,S - Sale+OE,1500.0,210.25,315375.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2025-02-20,Shelly R. Kagan,P - Purchase,200.0,215.0,43000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2025-03-15,Andrew R. Jassy,S - Sale,300.0,220.5,66150.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2025-04-05,Jeffrey P. Bezos,S - Sale,1200.0,225.75,270900.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
AMZN,2025-05-20,Shelly R. Kagan,P - Purchase,150.0,230.25,34537.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jeffrey P. Bezos"",
    ""role"": ""Executive Chairman"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 200.50,"
ANET,2024-11-15,Jensen Huang,S - Sale,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2024-12-01,Mark Parker,P - Purchase,500.0,145.75,72875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2025-01-10,Susan Wojcicki,S - Sale+OE,2000.0,160.5,321000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2025-02-20,Tim Cook,P - Purchase,800.0,155.0,124000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2025-03-15,Sheryl Sandberg,S - Sale,1500.0,165.25,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2025-04-05,Elon Musk,S - Sale+OE,3000.0,170.0,510000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
ANET,2025-05-20,Jeff Bezos,P - Purchase,1200.0,168.5,202200.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Jensen Huang"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
APP,2024-11-15,John Doe,P - Purchase,1000.0,50.25,50250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2024-12-01,Jane Smith,S - Sale,2000.0,52.75,105500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2025-01-10,Alice Johnson,S - Sale+OE,1500.0,55.0,82500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2025-02-20,Bob Brown,P - Purchase,500.0,57.5,28750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2025-03-15,Charlie Wilson,S - Sale,1200.0,60.0,72000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2025-04-05,Diana Lee,S - Sale+OE,800.0,62.25,49800.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
APP,2025-05-20,Ethan Taylor,P - Purchase,300.0,65.0,19500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 50.25,
    ""total_val"
AVGO,2024-11-15,Hock E. Tan,S - Sale,10000.0,1200.5,12005000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2024-12-01,Thomas Krause,P - Purchase,5000.0,1195.25,5976250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2025-01-10,Hock E. Tan,S - Sale+OE,15000.0,1210.75,18161250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2025-02-20,Thomas Krause,S - Sale,3000.0,1220.0,3660000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2025-03-15,Deborah L. Brewer,P - Purchase,2000.0,1230.5,2461000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2025-04-05,Hock E. Tan,S - Sale,8000.0,1240.25,9922000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
AVGO,2025-05-20,Thomas Krause,P - Purchase,4000.0,1250.0,5000000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Hock E. Tan"",
    ""role"": ""Chairman of the Board"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 1200.50,"
CRM,2024-11-15,Marc Benioff,S - Sale,10000.0,250.0,2500000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2024-12-01,Keith Block,P - Purchase,5000.0,245.0,1225000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2025-01-10,Amy Weaver,S - Sale+OE,8000.0,260.0,2080000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2025-02-20,Bret Taylor,P - Purchase,3000.0,255.0,765000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2025-03-15,Marc Benioff,S - Sale,12000.0,270.0,3240000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2025-04-05,Amy Weaver,S - Sale+OE,6000.0,265.0,1590000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRM,2025-05-20,Keith Block,P - Purchase,4000.0,275.0,1100000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Marc Benioff"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 250.00,
    "
CRWD,2024-11-15,George Kurtz,S - Sale,10000.0,150.25,1502500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2024-12-01,Thomas E. Fowler,P - Purchase,5000.0,145.75,728750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2025-01-10,Sharif K. Dhanani,S - Sale+OE,7500.0,160.5,1203750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2025-02-20,Michael D. Sherman,P - Purchase,3000.0,155.0,465000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2025-03-15,Gregory J. Butterfield,S - Sale,4000.0,165.25,661000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2025-04-05,Bala Rajaraman,S - Sale+OE,6000.0,170.0,1020000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CRWD,2025-05-20,Thomas E. Fowler,P - Purchase,2000.0,175.5,351000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""George Kurtz"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 150.25,
    ""total_value"""
CSCO,2024-11-15,Chuck Robbins,S - Sale,10000.0,50.25,502500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Chuck Robbins"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 50.25,
    "
CSCO,2024-12-01,Mark Chandler,P - Purchase,5000.0,49.75,248750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Chuck Robbins"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 50.25,
    "
CSCO,2025-01-10,Kelly Kramer,S - Sale+OE,15000.0,52.0,780000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Chuck Robbins"",
    ""role"": ""Chairman and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"": 50.25,
    "
